#верх,низ,перчатки,ботинки,оружие
#если у сета нет штанов, то используйте шлем, например ID 512;

#Dark Crystal Robe
2407,512,5767,5779,6608
#Dark Crystal Light
2385,2389,512,5766,5618
#Draconic Leather
6379,512,6380,6381,7577
6379,512,6380,6381,6590
#Imperial Crusder
6373,6374,6375,6376,6581
6373,6374,6375,6376,6580
6373,6374,6375,6376,6599
6373,6374,6375,6376,7577
#Majestic Leather
2395,512,5775,5787,7577
2395,512,5775,5787,5612
#Tallum Plate Armor
2382,512,5768,5780,6580
2382,512,5768,5780,5233
